pontosNeutros3D = 
-0.0398105 0.174793 0.939144
-0.0573735 0.148261 0.891841
-0.0352683 0.117799 0.87696
-0.0352268 0.0864932 0.870716
-0.0355138 0.0783221 0.872476
-0.0344886 0.0273504 0.851415
-0.0354518 0.0209709 0.861197
-0.0349099 0.0190219 0.854672
-0.0352586 -0.00812682 0.853635
-0.0357608 -0.0156412 0.857964
-0.0363919 -0.0492663 0.858944
-0.066169 0.172556 0.936526
-0.0949354 0.157872 0.926991
-0.0901293 0.126517 0.897157
-0.113787 0.113368 0.920269
-0.100665 0.082101 0.89091
-0.0830919 0.0954168 0.87656
-0.0504961 0.0859484 0.869284
-0.083131 0.0891199 0.875845
-0.0733493 0.0791871 0.879892
-0.094738 0.0687033 0.89021
-0.0733444 0.076534 0.879346
-0.0734053 0.0667417 0.878234
-0.0522636 0.0695479 0.880448
-0.0734188 0.064562 0.877986
-0.0495437 0.0330773 0.872014
-0.0574996 0.02267 0.870124
-0.084135 0.0394086 0.879723
-0.107098 0.0177068 0.910058
-0.11396 0.0660183 0.914902
-0.0976501 -0.0248335 0.906097
-0.0638888 0.00328765 0.868778
-0.0581824 -0.0443733 0.865532
-0.0400109 0.0180284 0.852664
-0.0151294 0.147576 0.895554
-0.0352683 0.117799 0.87696
-0.0352268 0.0864932 0.870716
-0.0355138 0.0783221 0.872476
-0.0344886 0.0273504 0.851415
-0.0354518 0.0209709 0.861197
-0.0355299 0.000268579 0.85827
-0.035367 -0.0102802 0.854471
-0.0358813 -0.0187376 0.858764
-0.0365541 -0.050943 0.860482
-0.0134852 0.171702 0.941157
0.0160161 0.156074 0.936743
0.015481 0.124806 0.90644
0.0343103 0.110968 0.933286
0.0255116 0.0800565 0.902001
0.0111474 0.0938898 0.884843
-0.0199673 0.0854537 0.871968
0.0111082 0.0875929 0.884128
0.000456471 0.0779912 0.886379
0.0193697 0.0668544 0.900239
0.000461446 0.0753381 0.885833
0.000400536 0.0655458 0.884721
-0.0207019 0.0690365 0.883222
0.000386978 0.0633661 0.884473
-0.0230804 0.0326485 0.87434
-0.0152555 0.0219855 0.873837
0.00982173 0.0378861 0.887981
0.0264325 0.0155431 0.921794
0.0338944 0.0636225 0.927898
0.0164576 -0.0266824 0.916127
-0.00935602 0.00240403 0.873571
-0.0159383 -0.0450578 0.869245
-0.0295713 0.0178592 0.853581
-0.0790131 0.0757615 0.882444
-0.0790764 0.0655716 0.881287
0.00547515 0.0743925 0.88987
0.00541177 0.0642026 0.888713
-0.0689376 0.0755983 0.88333
-0.069001 0.0654083 0.882172
-0.00460031 0.0745558 0.888985
-0.00466369 0.0643658 0.887827
-0.0448478 0.0269319 0.857826
-0.0254252 0.0266172 0.859533
-0.0384226 0.0780655 0.874895
-0.0330813 0.0779789 0.875364
-0.0493094 0.0141634 0.861256
-0.022043 0.0137216 0.863653
-0.0468443 0.00719205 0.86229
-0.0248735 0.00683605 0.864222
-0.0471711 0.000419238 0.864759
-0.0252002 6.32332e-005 0.86669
-0.0497146 -0.00521719 0.862293
-0.0224482 -0.005659 0.86469
-0.035191 0.00900263 0.856024
-0.0588769 0.00455072 0.872719
-0.0149352 0.00383871 0.876581
-0.0795504 -0.00233627 0.874862
0.00481549 -0.00370329 0.882277
-0.0439224 0.0555704 0.87346
-0.0281416 0.0553147 0.874847
-0.0354607 0.060968 0.868672
-0.0840273 0.0757079 0.88519
0.00992939 0.0741855 0.893448
-0.0840386 0.0738915 0.884983
0.0099181 0.0723691 0.893242
-0.0840838 0.0666259 0.884158
0.0098729 0.0651034 0.892417
-0.0842097 0.065386 0.885361
0.00974707 0.0638636 0.89362
-0.0629254 0.0759598 0.881817
-0.0102417 0.0751061 0.886447
-0.0629367 0.0741434 0.88161
-0.010253 0.0732897 0.886241
-0.0629819 0.0668777 0.880785
-0.0102982 0.0660241 0.885416
-0.0631078 0.0656379 0.881988
-0.010424 0.0647842 0.886619
-0.0502785 0.0208797 0.862812
-0.0211446 0.0204077 0.865372
0.0260479 0.0104125 0.966987
0.0336312 0.0584899 0.973101
0.032705 0.104767 0.978249
0.0286291 0.0537378 1.01521
-0.114766 0.0126941 0.95461
-0.121749 0.0610076 0.959444
-0.120248 0.107246 0.964805
-0.124324 0.0562162 1.00177
